Name,X,Y,population
Amerić,7470845.34,4925917.123,807
Arapovac,7451612.466,4923697.583,754
Arnajevo,7449719.37,4928478.499,853
Babe,7462359.33,4932775.316,332
Baćevac,7450431.223,4938085.241,1624
Baljevac,7442035.194,4936213.332,1636
Barajevo,7456537.11,4940032.796,8325
Barič,7441599.45,4944574.948,464
Baroševac,7449609.523,4917782.51,1260
Bečmen,7436404.721,4959934.554,3409
Begaljica,7476360.492,4943200.145,3255
Beli potok,7462366.429,4951703.083,3417
Belo Polje,7436398.136,4944686.141,256
Beluće,7483210.573,4927958.083,263
Beljevac,39.0081,17.5916,160
Beljina,7451710.162,4930084.347,1117
Bistrica,7447566.95,4913952.763,497
Boleč,45.1104,20.0125,5750
Boljevci,7438304.24,4953452.126,4056
Borča,7456330.568,4969821.118,35150
Boždarevac,7451799.246,4934329.403,1218
Brajkovac,7447036.418,4905982.789,1002
Brazilovica,7443676.758,4908603.494,877
Brestovik,7482028.999,4944245.191,1076
Brgulice,7430196.141,4947044.146,501
Brović,7432017.592,4932138.126,783
Burovo,7443792.309,4918048.535,468
Crkvine,7471758.691,4916532.903,214
Cvetovac,7440952.729,4925212.59,233
Čibutkovica,7440384.644,4910023.338,1260
Čukarica,7451256.545,4948958.666,132055
Dobanovci,7438653.023,4965185.339,8128
Dražanj,7474953.758,4937489.455,1548
Draževac,7439787.377,4938093.686,1536
Dren,7445108.79,4915830.538,200
Dren,7422399.366,4940073.851,245
Drlupa,7459232.05,4922830.234,547
Dubona,7479379.943,4931513.322,1139
Dučina,7459729.644,4927019.459,736
Dudovica,7442491.465,4904812.954,777
Dunavac,7452288.676,4990410.544,603
Đurinci,7469749.523,4931551.844,1088
Grabovac,7428049.006,4941238.537,2596
Granice,7477483.992,4922333.428,1460
Grocka,7478246.697,4946918.197,8338
Guberevac,7457560.85,4932920.267,646
Jagnjilo,7478686.172,4914569.697,2279
Jakovo,7441288.668,4956388.926,5949
Jasenak,7442000.47,4941250.776,664
Junkovac,7448217.564,4923292.288,984
Kaluđerica,7464952.766,4956542.053,22248
Kamendol,7481445.617,4941402.17,1067
Konatice,7439963.591,4933228.822,909
Konjarnik,7461461.078,4960448.064,23394
Koraćica,7470873.405,4921083.77,1924
Kovačevac,7479576.113,4920927.473,4349
Kovilovo,7453591.906,4973626.969,2567
Krnjača,7451380.568,4969027.118,270
Krtinska,7430422.131,4949696.915,1177
Kruševica,7451421.529,4910817.425,686
Lazarevac,7441408.32,4915324.175,23551
Leštane,7465911.533,4954133.918,8492
Lisović,7455255.198,4934403.883,1057
Ljubinić,7424767.368,4934085.819,855
Mala Ivanča,7468160.246,4939291.713,1701
Mala Moštanica,7445043.387,4944723.807,1665
Mala Vrbica,7472160.044,4923808.974,368
Mali crljeni,7451126.874,4916089.612,885
Mali Požarevac,7472007.614,4935497.125,1479
Manić,7454045.048,4929745.932,551
Markovac,7472795.205,4914930.177,674
Medoševac,7444253.62,4920324.021,925
Međulužje,7475174.822,4917603.788,2431
Meljak,7448457.387,4942735.642,1772
Mirosaljci,7453334.558,4921470.279,1658
Mislođin,7438631.666,4943225.983,2313
Mladenovac (varoš),7475631.159,4921372.813,22114
Nemenikuće,7467065.409,4926742.609,2058
Novi Beograd,7451977.772,4963067.192,113000
Novi Beograd 2,7451977.772,4963067.192,104777
Obrenovac,7436825.541,4946728.252,23620
Orašac,7423358.43,4937687.823,707
Ostružnica,7446883.783,4952972.001,3929
Ovča,7463186.541,4971638.431,9836
Padinska Skela,7455698.353,4981011.617,9836
Palilula,7455430.926,4976521.072,103261
Parcani,7462429.109,4936211.245,657
Pećani,7446069.482,4953873.728,493
Petka,7438238.28,4915533.068,1191
Petrovčić,7431505.824,4961251.436,1406
Pinosava,7458901.538,4949590.019,2839
Piroman,7433591.32,4933864.454,1008
Poljane,7438599.497,4932256.521,455
Popović,7467738.807,4935086.212,1545
Prkosava,7454078.677,4916367.668,317
Progar,7433340.716,4952726.482,1455
Pružatovac,7471008.728,4918503.922,835
Pudarci,7477493.453,4940308.158,1410
Rabrovac,7481238.393,4912467.1,1400
Rajkovac,7475026.623,4924669.598,1639
Rakovica,7456116.66,4955624.572,99000
Ralja,7465281.751,4936547.688,2858
Ratari,7428739.277,4945047.118,603
Ripanj,7462490.479,4942724.129,10741
Ritopek,7472284.782,4953513.882,2284
Rogača,7461952.947,4923027.548,1046
Ropočevo,7466059.582,4930634.883,2363
Rožanci,7452098.596,4926748.872,523
Rucka,7445192.968,4946561.175,310
Rudovci,7453438.028,4914672.681,1787
Rušanj,7455492.193,4948901.346,4769
Rvati,7436154.398,4946335.651,1211
Sakulja,7447161.943,4921682.471,583
Savski Venac,7456851.828,4960083.847,20390
Senaja,7473662.294,4933607.648,444
Sibnica,7455569.059,4924977.092,686
Skela,7424198.837,4946560.454,1855
Slanci,7465862.027,4961952.898,1770
Slatina,7455002.265,4928191.294,254
Sokolovo,7447358.171,4926696.066,623
Sopot,7466177.649,4931298.802,1752
Sremčica,7451749.21,4948314.108,18450
Stari Grad,7457641.189,4963909.568,38695
Stepojevac,7443432.712,4928813.431,3019
Stojnik,7459952.457,4930162.529,642
Strmovo,7452880.27,4918287.935,324
Stubica,7441995.429,4912664.299,269
Stubline,7431105.069,4936201.041,3099
Surčin,7441524.82,4960605.901,14292
Šepšin,7476241.562,4932875.651,855
Šiljakovac,7446867.922,4935547.783,620
Šopić,7441152.01,4917570.94,2230
Šušnjar,7440293.559,4913651.262,322
Trbušnica,7449100.134,4910379.858,796
Trstenica,7429838.097,4935242.504,917
Ugrinovci,7436402.752,4968636.35,7199
Umčari,7480219.714,4937805.859,2880
Umka,7445074.147,4948682.464,5292
Urovci,7431626.236,4947168.91,1540
Ušće,7421947.052,4943409.395,1464
Velika Ivanča,7466174.411,4920455.458,1796
Velika Krsna,7484039.147,4924373.605,3253
Velika Moštanica,7449044.964,4945831.436,3210
Veliki Borak,7448781.73,4932787.015,1287
Veliki crljeni,7443636.721,4925701.888,4580
Veliko Polje,7435873.201,4939142.32,1820
Veliko selo,7468488.467,4963143.123,1676
Vinča,7468657.926,4958253.399,5819
Vlaška,7475123.387,4928133.043,2547
Voždovac,126.2549,39.3517,132747
Vračar,7458474.262,4961774.099,58386
Vranić,7444747.869,4938909.085,3899
Vrbovno,7443440.859,4933221.405,978
Vrčin,7467502.872,4947816.46,8667
Vreoci,7442506.791,4922394.141,3210
Vukićevica,7421837.397,4934869.712,657
Zabrežje,7437736.965,4949899.229,2663
Zaklopača,7472492.435,4948599.344,2252
Zemun,98.4193,25.0588,145751
Zeoke,7446612.606,4918594.685,796
Zuce,7464748.58,4950097.511,2024
Zvečka,7433238.399,4943606.908,6138
Zvezdara,7462996.71,4959238.678,132621
Živkovac,7484378.295,4938458.156,380
Županjac,7438175.481,4911286.271,582
